cultivo,anio,mes,grupo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm,temp_max_c,temp_min_c
ají,2021,9,A,43.0,31.0,745.026,24033.096774193546,1.0339032463296585,0.0054668615984405,27.214289666811922,10.348455904937417
ají,2021,10,A,68.0,41.0,1050.1109999999999,25612.46341463414,0.9883967504387633,0.0010604647354310998,28.768127396279702,11.397505622455661
ají,2021,11,A,22.0,9.0,197.0,21888.88888888889,1.0,0.00226729921410765,29.699171256039094,12.761856445020438
ají,2021,12,A,19.0,26.0,538.621,20716.192307692305,1.0,0.008152268678215351,30.936590266283257,14.912426984240518
ají,2022,1,A,17.0,10.0,275.0,27500.0,1.0,0.0672821744716048,31.97127306004451,16.892591757252685
ají,2022,2,A,17.0,27.0,621.9,23033.333333333332,1.639459720212253,0.06510014539852604,32.8914658459493,17.667667703696974
ají,2022,3,A,67.0,32.0,725.1,22659.375,1.641263274031168,0.0423774813895781,33.01318304507825,17.14057441741253
ají,2022,4,A,25.0,12.0,214.89999999999998,17908.333333333332,1.762726849697534,0.00244555424990205,31.55768280174722,14.813744153904292
ají,2022,5,A,20.0,18.0,322.2,17900.0,1.6007448789571694,0.0022125351157609,28.782242610184774,11.549609665921906
ají,2022,6,A,8.0,13.0,328.1,25238.46153846154,1.4999999999999998,0.0046049840933191505,25.625561616376636,9.91502079657103
ají,2022,7,A,0.0,19.0,414.58,21820.0,1.4665685754257318,0.0059933842761166495,24.576227965695217,9.570422931188329
ají,2022,8,A,25.0,72.0,1643.0,22819.44444444444,1.5,0.0028811690102011995,25.53867602564971,9.637504522840342
ají,2022,9,A,16.0,30.0,738.7499999999999,24624.999999999996,1.5070253807106602,0.0054668615984405,27.214289666811922,10.348455904937417
ají,2022,10,A,39.0,8.0,194.8,24350.0,1.5843942505133468,0.0010604647354310998,28.768127396279702,11.397505622455661
ají,2022,11,A,23.0,10.0,218.0,21800.0,1.5,0.00226729921410765,29.699171256039094,12.761856445020438
ají,2022,12,A,17.0,5.0,121.0,24200.0,1.5,0.008152268678215351,30.936590266283257,14.912426984240518
ají,2023,1,A,33.0,28.0,655.5,23410.714285714286,1.7147215865751335,0.0672821744716048,31.97127306004451,16.892591757252685
ají,2023,2,A,10.0,52.0,1368.1,26309.615384615383,1.4973978510342814,0.06510014539852604,32.8914658459493,17.667667703696974
ají,2023,3,A,10.0,31.0,688.77,22218.387096774193,1.5813188727732044,0.0423774813895781,33.01318304507825,17.14057441741253
ají,2023,4,A,12.0,25.0,516.0,20640.0,1.4589147286821704,0.00244555424990205,31.55768280174722,14.813744153904292
ají,2023,5,A,22.5,19.0,447.3,23542.105263157897,1.4609657947686117,0.0022125351157609,28.782242610184774,11.549609665921906
ají,2023,6,A,60.0,9.0,204.7,22744.444444444445,1.3,0.0046049840933191505,25.625561616376636,9.91502079657103
ají,2023,7,A,60.0,8.0,179.0,22375.0,1.5,0.0059933842761166495,24.576227965695217,9.570422931188329
ají,2023,8,A,7.0,7.0,141.0,20142.85714285714,1.5,0.0028811690102011995,25.53867602564971,9.637504522840342
ají,2023,9,A,55.0,54.5,2454.2,45031.192660550456,1.3020780702469237,0.0054668615984405,27.214289666811922,10.348455904937417
ají,2023,10,A,20.0,37.0,1856.0,50162.16216216216,1.2739762931034482,0.0010604647354310998,28.768127396279702,11.397505622455661
ají,2023,11,A,38.0,59.5,2997.2,50373.10924369748,1.4992793273722143,0.00226729921410765,29.699171256039094,12.761856445020438
ají,2023,12,A,16.0,60.5,3127.0,51685.95041322314,1.2096578189958427,0.008152268678215351,30.936590266283257,14.912426984240518
albahaca,2020,1,A,3.5,5.5,32.7,5945.454545454546,0.9,0.0672821744716048,31.97127306004451,16.892591757252685
albahaca,2020,2,A,4.5,3.5,20.68,5908.571428571428,0.91,0.06510014539852604,32.8914658459493,17.667667703696974
albahaca,2020,3,A,7.0,3.5,21.1,6028.571428571429,0.9500000000000001,0.0423774813895781,33.01318304507825,17.14057441741253
albahaca,2020,4,A,6.0,4.5,26.8,5955.555555555556,0.92,0.00244555424990205,31.55768280174722,14.813744153904292
albahaca,2020,5,A,6.0,7.0,42.5,6071.428571428572,0.92,0.0022125351157609,28.782242610184774,11.549609665921906
albahaca,2020,6,A,6.0,6.0,35.9,5983.333333333333,0.9099999999999999,0.0046049840933191505,25.625561616376636,9.91502079657103
albahaca,2020,7,A,6.0,6.0,36.9,6149.999999999999,0.92,0.0059933842761166495,24.576227965695217,9.570422931188329
albahaca,2020,8,A,5.5,6.0,36.3,6050.0,0.92,0.0028811690102011995,25.53867602564971,9.637504522840342
albahaca,2020,9,A,5.5,6.0,36.06,6010.000000000001,0.9100000000000001,0.0054668615984405,27.214289666811922,10.348455904937417
albahaca,2020,10,A,5.5,6.0,35.97,5995.0,0.9199999999999999,0.0010604647354310998,28.768127396279702,11.397505622455661
albahaca,2020,11,A,5.5,6.0,36.7,6116.666666666667,0.92,0.00226729921410765,29.699171256039094,12.761856445020438
albahaca,2020,12,A,3.5,6.0,36.56,6093.333333333334,0.92,0.008152268678215351,30.936590266283257,14.912426984240518
albahaca,2021,1,A,6.0,6.0,36.42,6070.0,0.91,0.0672821744716048,31.97127306004451,16.892591757252685
albahaca,2021,2,A,6.0,6.0,35.9,5983.333333333333,0.9000000000000001,0.06510014539852604,32.8914658459493,17.667667703696974
albahaca,2021,3,A,6.0,6.0,36.1,6016.666666666667,0.9,0.0423774813895781,33.01318304507825,17.14057441741253
albahaca,2021,4,A,6.0,6.0,35.9,5983.333333333333,0.92,0.00244555424990205,31.55768280174722,14.813744153904292
albahaca,2021,5,A,6.0,6.0,36.2,6033.333333333334,0.9000000000000001,0.0022125351157609,28.782242610184774,11.549609665921906
albahaca,2021,6,A,6.0,6.0,35.8,5966.666666666666,0.92,0.0046049840933191505,25.625561616376636,9.91502079657103
albahaca,2021,7,A,7.0,6.0,34.9,5816.666666666666,0.91,0.0059933842761166495,24.576227965695217,9.570422931188329
albahaca,2021,8,A,6.0,6.0,35.2,5866.666666666667,0.9200000000000002,0.0028811690102011995,25.53867602564971,9.637504522840342
albahaca,2021,9,A,6.0,7.0,38.8,5542.857142857143,0.9299999999999999,0.0054668615984405,27.214289666811922,10.348455904937417
albahaca,2021,10,A,6.0,7.0,37.3,5328.571428571428,0.9,0.0010604647354310998,28.768127396279702,11.397505622455661
albahaca,2021,11,A,6.0,7.0,38.12,5445.714285714285,0.9500000000000001,0.00226729921410765,29.699171256039094,12.761856445020438
albahaca,2021,12,A,6.0,7.0,36.7,5242.857142857143,0.9399999999999998,0.008152268678215351,30.936590266283257,14.912426984240518
albahaca,2022,1,A,0.0,7.0,37.6,5371.428571428572,0.91,0.0672821744716048,31.97127306004451,16.892591757252685
