anio,cultivo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm_prom_ica,temp_max_c_prom_ica,temp_min_c_prom_ica
2023,Cebada forrajera,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Cebada grano,38.0,38.0,110.33999999999999,2903.684210526316,1.2737629146275151,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Cebada grano,36.0,36.0,108.55699999999999,3015.4722222222217,1.311266892047496,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Cebada grano,67.0,67.0,172.56,2575.5223880597014,1.365797403801576,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Cebada grano,73.0,73.0,187.64,2570.4109589041095,1.3637923683649544,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Cebolla    china,37.0,37.0,227.67700000000002,6153.432432432433,0.9373414091014903,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Cebolla    china,38.0,40.0,214.76000000000005,5369.000000000002,0.9326671633451292,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Cebolla    china,24.0,15.0,99.8,6653.333333333333,1.0967935871743486,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Cebolla    china,12.0,18.0,112.85,6269.444444444444,1.1610988037217547,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Cebolla cabeza,1714.0,1892.0,121621.88,64282.17758985201,0.6800569247901775,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Cebolla cabeza,1841.0,1878.0,120240.66,64025.91054313099,0.7847765743301808,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Cebolla cabeza,1388.5,1413.0,93401.69000000002,66101.6914366596,0.8335472998400776,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Cebolla cabeza,1298.5,1306.5,86139.20999999999,65931.27439724453,1.027312335462561,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Cerezo,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Cerezo,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Cerezo,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Cerezo,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Chirimoya,,31.0,164.369,5302.225806451613,2.430856791730801,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Chirimoya,,34.7,176.559,5088.155619596541,2.7089256282602414,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Chirimoya,,34.7,190.92999999999998,5502.305475504322,2.5383648457549888,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Chirimoya,,37.7,185.03,4907.957559681697,2.5788412689834077,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Cirolero,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Cirolero,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Cirolero,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Cirolero,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Ciruela,,164.55,1435.26,8722.333637192341,1.003921937488678,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Ciruela,,164.45,1432.4889999999998,8710.787473396169,0.9850504960247514,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Ciruela,,164.54999999999998,1302.73,7916.924946824674,1.000491276012681,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Ciruela,,164.55,1152.5800000000002,7004.436341537527,1.1710831352270554,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Coco,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Coco,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Coco,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Coco,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Cocona,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Cocona,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Cocona,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
